departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
AMAZONAS,BAGUA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,13037,250,231,92.4,30259,14109.307359307359,1072.3073593073586
AMAZONAS,BAGUA,,VOTOS EN BLANCO,6312,250,231,92.4,30259,6831.168831168831,519.1688311688313
AMAZONAS,BAGUA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4629,250,231,92.4,30259,5009.74025974026,380.7402597402597
AMAZONAS,BAGUA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2651,250,231,92.4,30259,2869.047619047619,218.0476190476188
AMAZONAS,BAGUA,,VOTOS NULOS,2523,250,231,92.4,30259,2730.5194805194806,207.51948051948057
AMAZONAS,BAGUA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1480,250,231,92.4,30259,1601.7316017316016,121.73160173160159
AMAZONAS,BAGUA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1210,250,231,92.4,30259,1309.5238095238094,99.5238095238094
AMAZONAS,BAGUA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,962,250,231,92.4,30259,1041.125541125541,79.12554112554108
AMAZONAS,BAGUA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,789,250,231,92.4,30259,853.8961038961039,64.89610389610391
AMAZONAS,BAGUA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,739,250,231,92.4,30259,799.7835497835498,60.7835497835498
AMAZONAS,BAGUA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,712,250,231,92.4,30259,770.5627705627705,58.56277056277054
AMAZONAS,BAGUA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,446,250,231,92.4,30259,482.68398268398266,36.68398268398266
AMAZONAS,BAGUA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,443,250,231,92.4,30259,479.4372294372294,36.437229437229405
AMAZONAS,BAGUA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,405,250,231,92.4,30259,438.3116883116883,33.31168831168827
AMAZONAS,BAGUA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",392,250,231,92.4,30259,424.24242424242425,32.24242424242425
AMAZONAS,BAGUA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,346,250,231,92.4,30259,374.45887445887445,28.458874458874448
AMAZONAS,BAGUA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,237,250,231,92.4,30259,256.49350649350646,19.49350649350646
AMAZONAS,BAGUA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,231,250,231,92.4,30259,250.0,19.0
AMAZONAS,BAGUA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,217,250,231,92.4,30259,234.84848484848484,17.848484848484844
AMAZONAS,BAGUA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,200,250,231,92.4,30259,216.45021645021643,16.45021645021643
AMAZONAS,BAGUA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,187,250,231,92.4,30259,202.38095238095238,15.38095238095238
AMAZONAS,BAGUA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,187,250,231,92.4,30259,202.38095238095238,15.38095238095238
AMAZONAS,BAGUA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,112,250,231,92.4,30259,121.2121212121212,9.212121212121204
AMAZONAS,BAGUA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,81,250,231,92.4,30259,87.66233766233766,6.662337662337663
AMAZONAS,BAGUA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,74,250,231,92.4,30259,80.08658008658008,6.086580086580085
AMAZONAS,BAGUA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,67,250,231,92.4,30259,72.5108225108225,5.510822510822507
AMAZONAS,BAGUA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,65,250,231,92.4,30259,70.34632034632034,5.34632034632034
AMAZONAS,BAGUA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,59,250,231,92.4,30259,63.85281385281385,4.852813852813853
AMAZONAS,BAGUA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,54,250,231,92.4,30259,58.44155844155844,4.441558441558442
AMAZONAS,BAGUA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,44,250,231,92.4,30259,47.61904761904761,3.6190476190476133
AMAZONAS,BAGUA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,40,250,231,92.4,30259,43.290043290043286,3.290043290043286
AMAZONAS,BAGUA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,35,250,231,92.4,30259,37.878787878787875,2.8787878787878753
AMAZONAS,BAGUA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,33,250,231,92.4,30259,35.714285714285715,2.7142857142857153
AMAZONAS,BAGUA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,28,250,231,92.4,30259,30.3030303030303,2.303030303030301
AMAZONAS,BAGUA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,22,250,231,92.4,30259,23.809523809523807,1.8095238095238066
AMAZONAS,BAGUA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,21,250,231,92.4,30259,22.727272727272727,1.7272727272727266
AMAZONAS,BAGUA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,15,250,231,92.4,30259,16.233766233766232,1.2337662337662323
AMAZONAS,BAGUA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,9,250,231,92.4,30259,9.74025974025974,0.7402597402597397
AMAZONAS,BONGARÁ,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3180,84,84,100.0,11441,3180.0,0.0
AMAZONAS,BONGARÁ,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2739,84,84,100.0,11441,2739.0,0.0
AMAZONAS,BONGARÁ,,VOTOS EN BLANCO,2548,84,84,100.0,11441,2548.0,0.0
AMAZONAS,BONGARÁ,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1445,84,84,100.0,11441,1445.0,0.0
AMAZONAS,BONGARÁ,,VOTOS NULOS,1225,84,84,100.0,11441,1225.0,0.0
AMAZONAS,BONGARÁ,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,841,84,84,100.0,11441,841.0,0.0
