candidato,partido,votos_estimados
KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2874107.09847817
,VOTOS EN BLANCO,2356532.1485604052
RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,2014303.5841562813
ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,2007765.6732353393
JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,1846315.8570146454
RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1695174.655336504
CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,1325862.6273893034
PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1228246.829330091
,VOTOS NULOS,1007146.1566207507
MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",574895.2528302516
ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,562735.5105258566
LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,307587.9364755298
JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,266405.85459215805
YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,215018.7296695407
CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,192636.75295138758
PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,161594.71789009825
GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,153435.4060069539
MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,144273.11374331487
HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,144123.9091793578
RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,140022.56143970354
ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,126759.35820044776
CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,118154.93394167762
VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,99823.55292495915
MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,82025.9447910661
ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,68106.25060297873
PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,65872.08059621086
WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,63707.18939763198
ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,63506.53260956107
RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,40816.23964166123
JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,32734.390818893185
FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,31422.992857061072
FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,27185.631444535917
ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,23248.156277986618
ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,21578.411928993904
ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,17474.5268368986
WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,14551.211025961265
NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,11351.113154931412
CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,9791.576576262363
