departamento,ubigeo_dep,ubigeo_prov,provincia
AMAZONAS,010000,010200,BAGUA
AMAZONAS,010000,010300,BONGARÁ
AMAZONAS,010000,010100,CHACHAPOYAS
AMAZONAS,010000,010600,CONDORCANQUI
AMAZONAS,010000,010400,LUYA
AMAZONAS,010000,010500,RODRÍGUEZ DE MENDOZA
AMAZONAS,010000,010700,UTCUBAMBA
ANCASH,020000,020200,AIJA
ANCASH,020000,021600,ANTONIO RAIMONDI
ANCASH,020000,021800,ASUNCIÓN
ANCASH,020000,020300,BOLOGNESI
ANCASH,020000,020400,CARHUAZ
ANCASH,020000,021700,CARLOS FERMÍN FITZCARRALD
ANCASH,020000,020500,CASMA
ANCASH,020000,020600,CORONGO
ANCASH,020000,020100,HUARAZ
ANCASH,020000,020800,HUARI
ANCASH,020000,021900,HUARMEY
ANCASH,020000,020700,HUAYLAS
ANCASH,020000,020900,MARISCAL LUZURIAGA
ANCASH,020000,022000,OCROS
ANCASH,020000,021000,PALLASCA
ANCASH,020000,021100,POMABAMBA
ANCASH,020000,021200,RECUAY
ANCASH,020000,021300,SANTA
ANCASH,020000,021400,SIHUAS
ANCASH,020000,021500,YUNGAY
APURIMAC,030000,030100,ABANCAY
APURIMAC,030000,030300,ANDAHUAYLAS
APURIMAC,030000,030400,ANTABAMBA
APURIMAC,030000,030200,AYMARAES
APURIMAC,030000,030700,CHINCHEROS
APURIMAC,030000,030500,COTABAMBAS
APURIMAC,030000,030600,GRAU
AREQUIPA,040000,040100,AREQUIPA
AREQUIPA,040000,040300,CAMANÁ
AREQUIPA,040000,040400,CARAVELÍ
AREQUIPA,040000,040500,CASTILLA
AREQUIPA,040000,040200,CAYLLOMA
AREQUIPA,040000,040600,CONDESUYOS
AREQUIPA,040000,040700,ISLAY
AREQUIPA,040000,040800,LA UNIÓN
AYACUCHO,050000,050200,CANGALLO
AYACUCHO,050000,050100,HUAMANGA
AYACUCHO,050000,050800,HUANCA SANCOS
AYACUCHO,050000,050300,HUANTA
AYACUCHO,050000,050400,LA MAR
AYACUCHO,050000,050500,LUCANAS
AYACUCHO,050000,050600,PARINACOCHAS
AYACUCHO,050000,051000,PÁUCAR DEL SARA SARA
AYACUCHO,050000,051100,SUCRE
AYACUCHO,050000,050700,VÍCTOR FAJARDO
AYACUCHO,050000,050900,VILCAS HUAMÁN
CAJAMARCA,060000,060200,CAJABAMBA
CAJAMARCA,060000,060100,CAJAMARCA
CAJAMARCA,060000,060300,CELENDÍN
CAJAMARCA,060000,060600,CHOTA
CAJAMARCA,060000,060400,CONTUMAZA
CAJAMARCA,060000,060500,CUTERVO
CAJAMARCA,060000,060700,HUALGAYOC
CAJAMARCA,060000,060800,JAÉN
CAJAMARCA,060000,061100,SAN IGNACIO
CAJAMARCA,060000,061200,SAN MARCOS
CAJAMARCA,060000,061000,SAN MIGUEL
CAJAMARCA,060000,061300,SAN PABLO
CAJAMARCA,060000,060900,SANTA CRUZ
CALLAO,240000,240100,CALLAO
CUSCO,070000,070200,ACOMAYO
CUSCO,070000,070300,ANTA
CUSCO,070000,070400,CALCA
CUSCO,070000,070500,CANAS
CUSCO,070000,070600,CANCHIS
CUSCO,070000,070700,CHUMBIVILCAS
CUSCO,070000,070100,CUSCO
CUSCO,070000,070800,ESPINAR
CUSCO,070000,070900,LA CONVENCIÓN
CUSCO,070000,071000,PARURO
