departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,BAGUA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,13355,94.4,14147.245762711864,792.2457627118638,215517.0175998866,6.1967264342874,6.56432884988072
AMAZONAS,BAGUA,,VOTOS EN BLANCO,6401,94.4,6780.72033898305,379.72033898305017,215517.0175998866,2.9700670839291385,3.1462575041622225
AMAZONAS,BAGUA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4637,94.4,4912.07627118644,275.07627118643995,215517.0175998866,2.1515702340539624,2.279205756413096
AMAZONAS,BAGUA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2654,94.4,2811.4406779661017,157.4406779661017,215517.0175998866,1.2314572786670728,1.3045098290964756
AMAZONAS,BAGUA,,VOTOS NULOS,2577,94.4,2729.872881355932,152.8728813559319,215517.0175998866,1.1957292415693468,1.2666623321709183
AMAZONAS,BAGUA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1556,94.4,1648.3050847457625,92.30508474576254,215517.0175998866,0.721984749663137,0.7648143534567127
AMAZONAS,BAGUA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1211,94.4,1282.8389830508474,71.83898305084745,215517.0175998866,0.5619045834460532,0.595237906192853
AMAZONAS,BAGUA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,965,94.4,1022.2457627118644,57.24576271186436,215517.0175998866,0.44776046492604565,0.47432252640470945
AMAZONAS,BAGUA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,789,94.4,835.8050847457627,46.805084745762656,215517.0175998866,0.36609638013124357,0.387813962003436
AMAZONAS,BAGUA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,739,94.4,782.8389830508474,43.838983050847446,215517.0175998866,0.3428963560418112,0.3632376652985288
AMAZONAS,BAGUA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,714,94.4,756.3559322033898,42.355932203389784,215517.0175998866,0.33129634399709496,0.3509495169460751
AMAZONAS,BAGUA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,448,94.4,474.57627118644064,26.576271186440636,215517.0175998866,0.2078722158413145,0.22020361847596873
AMAZONAS,BAGUA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,447,94.4,473.51694915254234,26.516949152542338,215517.0175998866,0.2074082153595258,0.21971209254187055
AMAZONAS,BAGUA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,413,94.4,437.5,24.5,215517.0175998866,0.19163219897871178,0.20300021078253366
AMAZONAS,BAGUA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",393,94.4,416.3135593220339,23.313559322033882,215517.0175998866,0.18235218934293881,0.19316969210057078
AMAZONAS,BAGUA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,348,94.4,368.64406779661016,20.64406779661016,215517.0175998866,0.16147216766244965,0.17105102506615427
AMAZONAS,BAGUA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,237,94.4,251.0593220338983,14.059322033898297,215517.0175998866,0.10996811418390966,0.11649164638126025
AMAZONAS,BAGUA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,231,94.4,244.70338983050846,13.703389830508456,215517.0175998866,0.10718411129317779,0.11354249077667136
AMAZONAS,BAGUA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,220,94.4,233.0508474576271,13.0508474576271,215517.0175998866,0.10208010599350266,0.10813570550159178
AMAZONAS,BAGUA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,207,94.4,219.27966101694915,12.279661016949149,215517.0175998866,0.09604809973025022,0.1017458683583159
AMAZONAS,BAGUA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,188,94.4,199.15254237288136,11.152542372881356,215517.0175998866,0.0872320905762659,0.09240687561045118
