departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov
AMAZONAS,BAGUA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,7988,250,151,60.4,22446
AMAZONAS,BAGUA,,VOTOS EN BLANCO,4609,250,151,60.4,22446
AMAZONAS,BAGUA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4179,250,151,60.4,22446
AMAZONAS,BAGUA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2286,250,151,60.4,22446
AMAZONAS,BAGUA,,VOTOS NULOS,1926,250,151,60.4,22446
AMAZONAS,BAGUA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1065,250,151,60.4,22446
AMAZONAS,BAGUA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,856,250,151,60.4,22446
AMAZONAS,BAGUA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,741,250,151,60.4,22446
AMAZONAS,BAGUA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,698,250,151,60.4,22446
AMAZONAS,BAGUA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,655,250,151,60.4,22446
AMAZONAS,BAGUA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,569,250,151,60.4,22446
AMAZONAS,BAGUA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,409,250,151,60.4,22446
AMAZONAS,BAGUA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,400,250,151,60.4,22446
AMAZONAS,BAGUA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",353,250,151,60.4,22446
AMAZONAS,BAGUA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,321,250,151,60.4,22446
