departamento,provincia,candidato,partido,votos
AMAZONAS,BAGUA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,13355
AMAZONAS,BAGUA,,VOTOS EN BLANCO,6401
AMAZONAS,BAGUA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4637
AMAZONAS,BAGUA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2654
AMAZONAS,BAGUA,,VOTOS NULOS,2577
AMAZONAS,BAGUA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1556
AMAZONAS,BAGUA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1211
AMAZONAS,BAGUA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,965
AMAZONAS,BAGUA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,789
AMAZONAS,BAGUA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,739
AMAZONAS,BAGUA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,714
AMAZONAS,BAGUA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,448
AMAZONAS,BAGUA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,447
AMAZONAS,BAGUA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,413
AMAZONAS,BAGUA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",393
AMAZONAS,BAGUA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,348
AMAZONAS,BAGUA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,237
AMAZONAS,BAGUA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,231
AMAZONAS,BAGUA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,220
AMAZONAS,BAGUA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,207
AMAZONAS,BAGUA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,188
AMAZONAS,BAGUA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,187
AMAZONAS,BAGUA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,112
AMAZONAS,BAGUA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,82
AMAZONAS,BAGUA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,74
AMAZONAS,BAGUA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,67
AMAZONAS,BAGUA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,67
AMAZONAS,BAGUA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,59
AMAZONAS,BAGUA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,54
AMAZONAS,BAGUA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,44
AMAZONAS,BAGUA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,40
AMAZONAS,BAGUA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,36
AMAZONAS,BAGUA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,33
AMAZONAS,BAGUA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,28
AMAZONAS,BAGUA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,22
AMAZONAS,BAGUA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,22
AMAZONAS,BAGUA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,15
AMAZONAS,BAGUA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,9
AMAZONAS,BONGARÁ,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3180
AMAZONAS,BONGARÁ,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2739
AMAZONAS,BONGARÁ,,VOTOS EN BLANCO,2548
AMAZONAS,BONGARÁ,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1445
AMAZONAS,BONGARÁ,,VOTOS NULOS,1225
